respondent_id,party_name,country_name,is_populist,populist_and_farleft,populist_and_farright,income_decile,income_feeling,paid_work,econ_satisfaction,unemp_3m,years_education,financial_difficulty_childhood,immig_same_ethnic,immig_diff_ethnic,immig_poor_nonEU,gay_rights_freedom,gay_adoption_rights,eu_integration,europe_attachment,country_attachment,child_obedience,leader_loyalty,tradition_important,pleasure_important,trust_politicians,trust_parties,trust_parliament,influence_on_politics,confident_participation,active_politics_role,political_interest,left_right_scale,party_closeness,ess_round,age,gender,ethnic_majority_identity,disc_nationality,disc_race,disc_ethnicity,born_in_country,citizen,how_religious,religion_belonging,religion_attendance,vote_x,vote_code,farright,farleft,eurosceptic,in_parliament,partyfacts_id,parlgov_id,vote_y
72679,PSOE,Spain,0,0,0,4,2,0,7,1,7,5,2,2,2,1,1,6,7,5,1,2,2,2,0,0,5,2,3,3,3,4,1,11,73,1,1,0,0,0,1,1,5,1,5,1,2.0,0,0,,,,,1
72679,PSOE,Spain,0,0,0,6,1,1,8,2,19,5,1,1,1,1,1,7,7,8,4,3,4,3,7,7,8,5,5,5,1,2,1,11,66,2,1,0,0,0,1,1,3,2,7,1,2.0,0,0,,,,,1
72717,PP,Spain,0,0,0,10,1,1,0,1,20,3,2,2,3,3,5,5,7,9,2,5,2,2,2,3,5,1,4,2,1,8,1,11,50,2,1,0,0,0,1,1,10,1,3,1,1.0,0,0,,,,,1
72835,PP,Spain,0,0,0,7,2,0,3,2,10,2,1,1,1,1,1,6,8,10,2,2,2,2,7,6,7,4,3,3,2,7,1,11,78,1,1,0,0,0,1,1,6,1,4,1,1.0,0,0,,,,,1
72835,PP,Spain,0,0,0,7,1,1,5,2,19,5,2,2,2,1,1,5,4,10,3,4,4,1,5,7,10,3,2,2,2,5,1,11,41,1,1,0,0,0,1,1,2,1,7,1,1.0,0,0,,,,,1
72875,PP,Spain,0,0,0,1,2,1,5,2,14,5,1,1,1,2,4,5,7,9,2,3,3,2,3,2,7,2,1,1,2,6,1,11,65,1,1,0,0,0,1,1,4,1,5,1,1.0,0,0,,,,,1
72875,PP,Spain,0,0,0,10,1,1,7,2,12,3,2,2,2,1,1,5,7,10,1,1,1,3,6,6,5,3,3,3,2,5,1,11,51,2,1,0,0,0,1,1,8,1,4,1,1.0,0,0,,,,,1
72888,PSOE,Spain,0,0,0,4,1,1,1,1,12,4,2,3,3,2,1,5,5,7,1,3,2,1,0,0,0,2,2,2,2,2,2,11,56,2,1,0,0,0,1,1,0,2,7,1,2.0,0,0,,,,,2
72888,PSOE,Spain,0,0,0,6,1,0,7,2,15,2,2,2,2,1,1,7,7,7,2,2,3,6,5,5,7,2,2,2,3,3,1,11,68,2,1,0,0,0,1,1,3,2,7,1,2.0,0,0,,,,,1
72888,PSOE,Spain,0,0,0,5,2,1,4,2,13,4,2,2,2,2,4,7,8,9,2,2,2,4,3,2,5,3,2,2,2,3,1,11,53,1,1,0,0,0,1,1,7,1,6,1,2.0,0,0,,,,,1
72928,PP,Spain,0,0,0,1,2,0,2,2,12,4,4,4,4,1,1,5,5,10,2,3,2,6,0,0,0,1,1,1,4,5,1,11,75,2,1,0,0,0,1,1,5,1,4,1,1.0,0,0,,,,,1
72956,PSOE,Spain,0,0,0,7,1,1,6,2,19,4,1,1,1,1,1,9,10,10,3,3,6,3,0,2,8,2,2,2,2,0,1,11,59,2,1,0,0,0,1,1,1,2,7,1,2.0,0,0,,,,,1
72981,PSOE,Spain,0,0,0,3,2,1,6,1,12,3,2,2,2,1,1,6,10,9,2,3,4,4,4,5,5,3,2,2,3,3,1,11,35,2,1,0,0,0,1,1,2,2,6,1,2.0,0,0,,,,,1
73026,EAJ-PNV,Spain,0,0,0,9,1,1,6,2,15,5,1,3,3,2,2,8,5,5,3,4,3,3,1,1,3,1,2,2,3,5,1,11,53,1,1,0,0,0,1,1,3,1,6,1,8.0,0,0,,,,,1
73027,PP,Spain,0,0,0,7,2,1,6,2,14,2,3,3,3,1,1,5,9,10,3,4,4,2,6,6,7,1,1,2,4,6,1,11,47,1,1,0,0,0,2,1,2,2,7,1,1.0,0,0,,,,,1
73029,SUMAR,Spain,0,0,0,3,3,1,3,2,16,5,2,2,2,1,2,9,7,5,2,4,3,1,2,2,2,2,5,2,2,2,1,11,34,2,1,0,0,0,1,1,0,2,6,1,4.0,0,0,,,,,1
73053,PP,Spain,0,0,0,6,1,1,1,2,18,5,2,2,2,1,1,2,7,7,2,3,1,1,1,1,6,2,2,1,3,7,1,11,23,1,1,0,0,0,1,1,6,1,3,1,1.0,0,0,,,,,1
73128,PSOE,Spain,0,0,0,7,2,1,6,2,9,3,2,2,2,3,4,10,6,6,2,2,1,2,8,8,8,1,3,1,3,0,1,11,40,1,2,0,0,0,2,1,8,1,4,1,2.0,0,0,,,,,1
73128,PSOE,Spain,0,0,0,3,3,0,4,2,12,5,1,1,2,1,1,5,3,10,1,3,2,4,1,1,2,2,2,2,1,3,2,11,72,1,1,0,0,0,1,1,5,1,4,1,2.0,0,0,,,,,1
73128,PSOE,Spain,0,0,0,3,2,0,2,1,14,3,1,1,2,2,5,10,5,5,1,4,3,3,0,7,0,1,2,2,2,7,1,11,62,1,1,0,0,0,1,1,8,1,3,1,2.0,0,0,,,,,1
73128,PSOE,Spain,0,0,0,4,2,1,5,2,13,4,3,3,3,2,4,5,8,10,1,1,3,2,5,5,5,2,1,2,3,3,2,11,40,1,2,0,0,0,1,1,5,1,5,1,2.0,0,0,,,,,1
73195,PP,Spain,0,0,0,10,1,1,5,2,20,5,1,1,1,2,4,8,7,9,3,4,1,3,1,2,3,3,4,2,1,6,1,11,63,1,1,0,0,0,1,1,9,1,3,1,1.0,0,0,,,,,1
73266,PSOE,Spain,0,0,0,7,2,0,7,2,20,5,2,3,2,2,2,7,9,8,2,3,3,3,6,6,8,3,2,2,2,4,1,11,61,2,1,0,0,0,1,1,7,1,4,1,2.0,0,0,,,,,1
73275,SUMAR,Spain,0,0,0,7,2,1,4,2,23,5,1,1,1,1,1,7,0,0,3,4,3,2,2,0,5,2,3,1,2,2,1,11,51,1,1,0,0,0,1,1,0,2,7,1,4.0,0,0,,,,,1
73275,SUMAR,Spain,0,0,0,5,2,1,4,2,11,5,4,4,4,5,5,0,1,10,1,1,1,1,1,1,4,1,1,1,1,5,2,11,40,1,1,0,0,0,1,1,7,1,5,1,4.0,0,0,,,,,1
73338,BNG,Spain,0,0,0,3,2,1,7,2,22,3,1,1,1,1,1,10,8,8,2,2,5,4,0,1,8,2,1,1,1,2,1,11,44,1,1,0,0,0,2,1,0,1,7,1,9.0,0,0,,,,,1
