uuid,year,valuation,revenue
41a1396d-4520-429c-a25c-f306de0dd417,2021,755300000.0,70684000.0
41a1396d-4520-429c-a25c-f306de0dd417,2022,534000000.0,90715000.0
41a1396d-4520-429c-a25c-f306de0dd417,2023,254200000.0,84161000.0
e63b1faf-ad3a-4501-aa0e-6fe22b95a72d,2017,169000000.0,655000000.0
e63b1faf-ad3a-4501-aa0e-6fe22b95a72d,2018,83800000.0,672000000.0
e63b1faf-ad3a-4501-aa0e-6fe22b95a72d,2019,95230000.0,615562000.0
e63b1faf-ad3a-4501-aa0e-6fe22b95a72d,2020,324800000.0,697508000.0
e63b1faf-ad3a-4501-aa0e-6fe22b95a72d,2021,224300000.0,723848000.0
e63b1faf-ad3a-4501-aa0e-6fe22b95a72d,2022,166900000.0,657370000.0
e63b1faf-ad3a-4501-aa0e-6fe22b95a72d,2023,94360000.0,677164000.0
c2006eba-5763-490b-abd8-3e14c6cea75a,2017,34101000000.0,14043000000.0
c2006eba-5763-490b-abd8-3e14c6cea75a,2018,25768000000.0,18274000000.0
c2006eba-5763-490b-abd8-3e14c6cea75a,2019,36540000000.0,18503000000.0
c2006eba-5763-490b-abd8-3e14c6cea75a,2020,37773000000.0,16207000000.0
c2006eba-5763-490b-abd8-3e14c6cea75a,2021,51514000000.0,21500000000.0
c2006eba-5763-490b-abd8-3e14c6cea75a,2022,35740000000.0,29764000000.0
c2006eba-5763-490b-abd8-3e14c6cea75a,2023,40729000000.0,27775000000.0
21792cde-8f3b-45c0-b0ec-ecfa24bf5fd6,2021,4310000000.0,419591000.0
21792cde-8f3b-45c0-b0ec-ecfa24bf5fd6,2022,957200000.0,505835000.0
21792cde-8f3b-45c0-b0ec-ecfa24bf5fd6,2023,1031000000.0,545646000.0
d86c224d-a45b-4f0d-8668-7ffae243f852,2017,5049000000.0,544000000.0
d86c224d-a45b-4f0d-8668-7ffae243f852,2018,5622000000.0,792000000.0
d86c224d-a45b-4f0d-8668-7ffae243f852,2019,12615000000.0,1237500000.0
d86c224d-a45b-4f0d-8668-7ffae243f852,2020,22389000000.0,2471800000.0
3c2e4842-ac79-483c-a085-09bc992dc600,2019,1479000000.0,116206000.0
3c2e4842-ac79-483c-a085-09bc992dc600,2020,3997000000.0,164069000.0
3c2e4842-ac79-483c-a085-09bc992dc600,2021,2495000000.0,234092000.0
3c2e4842-ac79-483c-a085-09bc992dc600,2022,1806000000.0,257272000.0
3c2e4842-ac79-483c-a085-09bc992dc600,2023,2010000000.0,273956000.0
3c2e4842-ac79-483c-a085-09bc992dc600,2018,821700000.0,
72d82427-15a8-407a-bc4b-cc938dabdc2b,2020,3406000000.0,1269596000.0
72d82427-15a8-407a-bc4b-cc938dabdc2b,2021,6480000000.0,1501434000.0
72d82427-15a8-407a-bc4b-cc938dabdc2b,2022,3910000000.0,1910566000.0
72d82427-15a8-407a-bc4b-cc938dabdc2b,2023,4250000000.0,2117983000.0
72d82427-15a8-407a-bc4b-cc938dabdc2b,2024,4229000000.0,2288000000.0
72d82427-15a8-407a-bc4b-cc938dabdc2b,2025,4037000000.0,2555000000.0
72d82427-15a8-407a-bc4b-cc938dabdc2b,2026,3832000000.0,2797000000.0
2f5eadfe-b043-4f33-b856-0fc07bf8567f,2017,1905000000.0,399020000.0
2f5eadfe-b043-4f33-b856-0fc07bf8567f,2018,8514000000.0,650067000.0
2f5eadfe-b043-4f33-b856-0fc07bf8567f,2019,12101000000.0,1134468000.0
2f5eadfe-b043-4f33-b856-0fc07bf8567f,2020,48407000000.0,1761776000.0
2f5eadfe-b043-4f33-b856-0fc07bf8567f,2021,42614000000.0,2841839000.0
2f5eadfe-b043-4f33-b856-0fc07bf8567f,2022,5858000000.0,3826321000.0
2f5eadfe-b043-4f33-b856-0fc07bf8567f,2023,10713000000.0,4153945000.0
ff9ecca7-1f57-4632-a98d-c5b26bd20e5c,2021,496600000.0,383685000.0
ff9ecca7-1f57-4632-a98d-c5b26bd20e5c,2022,-9653000.0,321527000.0
ff9ecca7-1f57-4632-a98d-c5b26bd20e5c,2023,43090000.0,259278000.0
e936386a-678e-4f61-9b6d-2126385ef289,2021,328500000.0,303113000.0
e936386a-678e-4f61-9b6d-2126385ef289,2022,94190000.0,212105000.0
e936386a-678e-4f61-9b6d-2126385ef289,2023,44270000.0,221588000.0
e936386a-678e-4f61-9b6d-2126385ef289,2025,33189999.0,260600000.0
e936386a-678e-4f61-9b6d-2126385ef289,2024,33189999.0,245300000.0
94c933f6-13a8-4521-8595-d147acfc7c67,2020,2683000000.0,794000000.0
94c933f6-13a8-4521-8595-d147acfc7c67,2021,4288000000.0,869000000.0
9e524cfb-1de8-4215-b0ce-8c76f9243e2d,2021,334000000.0,114738000.0
9e524cfb-1de8-4215-b0ce-8c76f9243e2d,2022,86000000.0,98506000.0
