cb_uuid,round_announced_on,round_raised_amount_usd
0042f9e8-4859-686d-fa8e-054717fda92e,2021-07-29,71000000.0
0042f9e8-4859-686d-fa8e-054717fda92e,2021-11-15,30000000.0
0042f9e8-4859-686d-fa8e-054717fda92e,2024-04-03,60000000.0
03e88186-96c0-f71f-1c02-531799c17f09,2016-02-10,10500000.0
0ab2cff7-557c-4aad-8e2c-459310804d95,2020-04-08,4000000.0
0bb21e55-f781-de03-0978-477cfdbb9338,2024-02-28,747500000.0
0be2ac16-9598-6a43-1a61-e91b75c9c30f,2010-05-13,750000.0
0be2ac16-9598-6a43-1a61-e91b75c9c30f,2016-07-06,8999994.0
0be2ac16-9598-6a43-1a61-e91b75c9c30f,2019-06-24,13999998.0
0bf6f331-2c1e-4274-86e9-4ce1f63a3c33,2023-08-03,40000000.0
0bf726bf-1902-1756-ca9e-a4c8cd6a90a4,2022-01-07,550000000.0
0c709126-7f01-5f93-7863-a6485253f7dd,2010-08-05,29050628.0
0c709126-7f01-5f93-7863-a6485253f7dd,2015-05-20,49000000.0
0e7ae907-9887-ed37-6618-a596643119b6,2018-09-02,140300000.0
0e7ae907-9887-ed37-6618-a596643119b6,2019-05-01,215400000.0
0e7ae907-9887-ed37-6618-a596643119b6,2020-01-01,328000000.0
0e7ae907-9887-ed37-6618-a596643119b6,2020-01-22,280600000.0
0e7ae907-9887-ed37-6618-a596643119b6,2021-04-19,857500000.0
0074c110-5dd9-4af1-29a7-cecd2ae1b86c,2014-02-26,104699896.0
0074c110-5dd9-4af1-29a7-cecd2ae1b86c,2016-05-20,99930499.0
0074c110-5dd9-4af1-29a7-cecd2ae1b86c,2017-11-29,240000000.0
0074c110-5dd9-4af1-29a7-cecd2ae1b86c,2023-04-06,215000000.0
08fb213a-b9df-8412-840b-a2db3e49ec0f,2016-08-15,230000.0
007bc770-2a4d-49c3-b27c-c2c2c10fd788,2022-01-05,45000000.0
10fd3532-d60d-8093-7bbd-733d57625bcc,2018-07-23,8000000.0
110cc24e-b2bd-2cd1-d3ee-bd9838a47dba,2011-03-29,2299999.0
110cc24e-b2bd-2cd1-d3ee-bd9838a47dba,2012-11-08,29557113.0
110cc24e-b2bd-2cd1-d3ee-bd9838a47dba,2016-11-17,44000000.0
110cc24e-b2bd-2cd1-d3ee-bd9838a47dba,2017-07-31,74000000.0
110cc24e-b2bd-2cd1-d3ee-bd9838a47dba,2018-08-09,75000000.0
110cc24e-b2bd-2cd1-d3ee-bd9838a47dba,2019-03-31,196700000.0
110cc24e-b2bd-2cd1-d3ee-bd9838a47dba,2019-09-06,300000000.0
110cc24e-b2bd-2cd1-d3ee-bd9838a47dba,2020-04-01,184000000.0
110cc24e-b2bd-2cd1-d3ee-bd9838a47dba,2021-01-20,460000000.0
11543418-8e91-bef1-7255-17ed024f49fd,2019-01-25,75657502.0
11543418-8e91-bef1-7255-17ed024f49fd,2022-10-06,7277226.0
11f3ab51-c1a3-42ca-b194-326add9cde75,2020-09-16,4250000.0
11f3ab51-c1a3-42ca-b194-326add9cde75,2022-03-28,49450983.0
11f3ab51-c1a3-42ca-b194-326add9cde75,2023-05-19,15610000.0
121678ff-f44b-4ff9-8955-3780d1df9799,2019-03-07,55000000.0
009544b3-511a-4fe8-89f0-4af7a57aa204,2018-07-26,2000000.0
12975641-17c2-4ff9-9097-8326a1a92a03,2020-08-17,4399999.0
129b4700-bbe1-b9fc-5149-f15f18d13503,2015-02-01,590535.0
129b4700-bbe1-b9fc-5149-f15f18d13503,2017-05-08,3800000.0
009544b3-511a-4fe8-89f0-4af7a57aa204,2019-02-22,2500000.0
009544b3-511a-4fe8-89f0-4af7a57aa204,2019-06-24,100000.0
